Grimer,POISON,,325,80,80,50,40,50,25
Muk,POISON,,500,105,105,75,65,100,50
Shellder,WATER,,305,30,65,100,45,25,40
Cloyster,WATER,ICE,525,50,95,180,85,45,70
Gastly,GHOST,POISON,310,30,35,30,100,35,80
Haunter,GHOST,POISON,405,45,50,45,115,55,95
Gengar,GHOST,POISON,500,60,65,60,130,75,110
Onix,ROCK,GROUND,385,35,45,160,30,45,70
Drowzee,PSYCHIC,,328,60,48,45,43,90,42
Hypno,PSYCHIC,,483,85,73,70,73,115,67
Krabby,WATER,,325,30,105,90,25,25,50
Kingler,WATER,,475,55,130,115,50,50,75
Voltorb,ELECTRIC,,330,40,30,50,55,55,100
Electrode,ELECTRIC,,490,60,50,70,80,80,150
Exeggcute,GRASS,PSYCHIC,325,60,40,80,60,45,40
Exeggutor,GRASS,PSYCHIC,530,95,95,85,125,75,55
Cubone,GROUND,,320,50,50,95,40,50,35
Marowak,GROUND,,425,60,80,110,50,80,45
Hitmonlee,FIGHTING,,455,50,120,53,35,110,87
Hitmonchan,FIGHTING,,455,50,105,79,35,110,76
Lickitung,NORMAL,,385,90,55,75,60,75,30
Koffing,POISON,,340,40,65,95,60,45,35
Weezing,POISON,,490,65,90,120,85,70,60
Rhyhorn,GROUND,ROCK,345,80,85,95,30,30,25
Rhydon,GROUND,ROCK,485,105,130,120,45,45,40
Chansey,NORMAL,,450,250,5,5,35,105,50
Tangela,GRASS,,435,65,55,115,100,40,60
Kangaskhan,NORMAL,,490,105,95,80,40,80,90
Horsea,WATER,,295,30,40,70,70,25,60
Seadra,WATER,,440,55,65,95,95,45,85
Goldeen,WATER,,320,45,67,60,35,50,63
Seaking,WATER,,450,80,92,65,65,80,68
Staryu,WATER,,340,30,45,55,70,55,85
Starmie,WATER,PSYCHIC,520,60,75,85,100,85,115
Mr. Mime,PSYCHIC,FAIRY,460,40,45,65,100,120,90
Scyther,BUG,FLYING,500,70,110,80,55,80,105
Jynx,ICE,PSYCHIC,455,65,50,35,115,95,95
Electabuzz,ELECTRIC,,490,65,83,57,95,85,105
Magmar,FIRE,,495,65,95,57,100,85,93
Pinsir,BUG,,500,65,125,100,55,70,85
Tauros,NORMAL,,490,75,100,95,40,70,110
Magikarp,WATER,,200,20,10,55,15,20,80
Gyarados,WATER,FLYING,540,95,125,79,60,100,81
Lapras,WATER,ICE,535,130,85,80,85,95,60
Ditto,NORMAL,,288,48,48,48,48,48,48
Eevee,NORMAL,,325,55,55,50,45,65,55
Vaporeon,WATER,,525,130,65,60,110,95,65
Jolteon,ELECTRIC,,525,65,65,60,110,95,130
Flareon,FIRE,,525,65,130,60,95,110,65
Porygon,NORMAL,,395,65,60,70,85,75,40
Omanyte,ROCK,WATER,355,35,40,100,90,55,35
Omastar,ROCK,WATER,495,70,60,125,115,70,55
Kabuto,ROCK,WATER,355,30,80,90,55,45,55
Kabutops,ROCK,WATER,495,60,115,105,65,70,80
Aerodactyl,ROCK,FLYING,515,80,105,65,60,75,130
Snorlax,NORMAL,,540,160,110,65,65,110,30
Articuno,ICE,FLYING,580,90,85,100,95,125,85
Zapdos,ELECTRIC,FLYING,580,90,90,85,125,90,100
Moltres,FIRE,FLYING,580,90,100,90,125,85,90
Dratini,DRAGON,,300,41,64,45,50,50,50
Dragonair,DRAGON,,420,61,84,65,70,70,70
Dragonite,DRAGON,FLYING,600,91,134,95,100,100,80
Mewtwo,PSYCHIC,,680,106,110,90,154,90,130
Mew,PSYCHIC,,600,100,100,100,100,100,100
